FIPS,STATE,NAME,ID,VERSION,START_DATE,END_DATE,CREATION_OR_CHANGE,CITATION,START_N,END_N,DATASET
5057,AR,HEMPSTEAD (Ark.),ars_hempstead,,01 02 1828 0:00:00,,HEMPSTEAD (Ark.) lost to creation of LAFAYETTE (Ark.); HEMPSTEAD eliminated from present Texas. Act passed 15 October 1827; took effect 1 February 1828.,"(Ark. Terr. Acts 1827, 5th sess./pp. 10-12)",18280201,,TX_AtlasHCB
48337,TX,MONTAGUE,txs_montague,,31 12 1860 0:00:00,,"[1860] CLAY fully organized, detached from MONTAGUE.","(Taylor, 47-48)",18601231,,TX_AtlasHCB
,TX,SANTA FE (extinct),txs_santafe,,13 12 1850 0:00:00,,"State of Texas sold land in present Colorado, Kansas, New Mexico, Oklahoma, and Wyoming to the United States. BEXAR lost territory to the United States; implicitly gained territory extending to new northern limit of Texas. Except for small adjustments, Texas state boundaries now set; SANTA FE eliminated.","(U.S. Stat., vol. 9, ch. 49 [1850]/pp. 446-452 and appendix, sec. 10/pp. 1005-1006; Texas Laws 1850, 3d leg., 3d sess., ch. 2/p. 4; Van Zandt, 122)",18501213,,TX_AtlasHCB
5133,AR,SEVIER (Ark.),ars_sevier,,14 11 1829 0:00:00,,"SEVIER (Ark.) lost to MILLER (Ark. Terr., extinct); SEVIER eliminated from present Texas.","(Ark. Terr. Acts 1829, 6th sess./p. 91)",18291114,,TX_AtlasHCB
48483,TX,WHEELER,txs_wheeler,,12 06 1881 0:00:00,,"OLDHAM fully organized, detached from WHEELER.","(Kennedy, 143)",18810612,,TX_AtlasHCB
,TX,WORTH (extinct),txs_worth,,13 12 1850 0:00:00,,"State of Texas sold land in present Colorado, Kansas, New Mexico, Oklahoma, and Wyoming to the United States; except for small adjustments, Texas state boundaries now set; WORTH eliminated.","(U.S. Stat., vol. 9, ch. 49 [1850]/pp. 446-452 and appendix, sec. 10/pp. 1005-1006; Texas Laws 1850, 3d leg., 3d sess., ch. 2/p. 4; Van Zandt, 122)",18501213,,TX_AtlasHCB
,,Spain,spn_part,2,31 08 1820 0:00:00,23 08 1821 0:00:00,"[August 1820] LA BAHIA DEL ESPIRITU SANTO (now GOLIAD, original county) established as a municipality under the authority of New Spain. Precise boundaries not known; general area of municipality mapped.","(Cunniff, 82)",18200831,18210823,TX_AtlasHCB
48013,TX,ATASCOSA,txs_atascosa,,03 01 1862 0:00:00,,"ATASCOSA lost all territory to LIVE OAK; ATASCOSA eliminated, temporarily ending the attachment of FRIO (act repealed 4 December 1863).","(Texas Laws 1861, 9th leg., reg. sess., ch. 29/p. 27)",18620103,,TX_AtlasHCB
,TX,Non-County Area 14,txs_nca14,1,01 03 1848 0:00:00,11 02 1858 0:00:00,Non-County Area 14 created from TRAVIS.,"(Texas Laws 1847, 2d leg., ch. 57/p. 48)",18480301,18580211,TX_AtlasHCB
,TX,Non-County Area 1,txs_nca1,1,14 12 1837 0:00:00,17 12 1837 0:00:00,Non-County Area 1 created from a remnant of WASHINGTON that was east of MONTGOMERY.,"(Texas Repub. Laws 1837, 2d cong., 1st sess./p. 33)",18371214,18371217,TX_AtlasHCB
